ts_ms,cpu_pct,rss_kb
1775047316725,2.1,98256
1775047317772,0.9,97744
1775047318821,1.7,97376
1775047319874,1.9,97408
1775047320931,1.9,97376
1775047321984,1.5,97488
1775047323046,0.9,97424
1775047324087,1.1,97408
1775047325131,1.6,97424
1775047326182,3.5,97440
1775047327238,2.8,97456
1775047328316,1.0,97408
1775047329386,1.5,97440
1775047330441,3.2,97456
1775047331495,2.4,97568
1775047332536,2.2,97568
1775047333588,1.5,97568
1775047334632,2.4,97568
1775047335683,2.4,97568
1775047336731,1.9,98272
1775047337780,1.8,98272
1775047338832,1.2,98256
1775047339874,1.7,98256
1775047340931,2.0,98256
1775047341979,2.9,98256
1775047343033,1.5,98256
1775047344083,0.9,98256
1775047345129,2.4,98256
1775047346174,2.0,98272
1775047347337,1.0,97792
1775047348381,1.5,97168
1775047349442,1.7,97184
1775047350500,1.8,97200
