ts_ms,cpu_pct,rss_kb
1775049445393,6.9,124352
1775049446443,9.1,124304
1775049447506,6.0,124304
1775049448572,6.9,124304
1775049449616,8.6,124304
1775049450665,6.4,124304
1775049451714,4.1,124128
1775049452756,4.7,110416
1775049453800,7.8,105984
1775049454846,7.6,105632
1775049455894,8.3,106704
1775049456941,5.3,106688
1775049457990,4.8,106688
1775049459043,7.6,106704
1775049460101,9.2,106704
1775049461308,4.4,106704
1775049462356,8.6,106720
1775049463405,8.8,106720
1775049464446,5.1,106720
1775049465502,5.9,106720
1775049466562,8.4,106720
1775049467618,8.2,106720
1775049468672,3.3,106752
1775049469727,5.1,106752
1775049470785,5.7,106736
1775049471839,8.1,106752
1775049472888,8.2,106768
1775049473937,6.1,106784
1775049475009,4.1,106816
1775049476066,7.2,106800
1775049477126,9.5,106416
1775049478174,9.0,106432
1775049479217,4.4,106432
1775049480272,3.5,105952
1775049481323,6.5,105952
1775049482379,7.0,105936
1775049483432,8.9,106992
1775049484488,5.7,106992
1775049485542,4.0,106992
1775049486611,9.9,106992
1775049487669,9.1,106992
1775049488720,6.2,107504
1775049489772,5.4,107504
1775049490830,8.7,107456
1775049491880,10.3,107456
1775049492946,10.3,107424
1775049493991,4.2,105824
1775049495051,3.9,105840
1775049496110,7.4,105776
1775049497156,6.8,105776
1775049498210,5.7,105776
1775049499257,6.0,105552
1775049500308,5.1,105552
1775049501359,10.1,105392
1775049502402,8.4,105408
1775049503455,9.3,105408
1775049504507,7.0,105392
1775049505563,5.0,105424
1775049506624,11.7,105408
1775049507667,11.3,105408
1775049508721,5.5,105408
1775049509791,4.5,105408
1775049510852,12.2,105408
1775049511904,12.8,105424
1775049512957,9.0,105424
1775049514008,7.1,105424
1775049515056,8.4,105424
1775049516098,8.6,105424
1775049517146,9.6,105424
1775049518195,10.0,105424
1775049519237,5.8,105424
1775049520285,5.8,105424
1775049521341,6.1,105424
1775049522387,11.6,105424
1775049523618,6.4,105360
1775049524667,7.3,105360
1775049525715,7.6,105344
1775049526764,7.1,105344
1775049527819,7.3,105344
1775049528865,8.6,105344
1775049530014,6.4,106400
1775049531064,5.0,106448
1775049532110,3.9,106480
1775049533164,9.1,106480
1775049534217,10.0,106480
1775049535270,5.6,106528
1775049536319,6.0,106528
1775049537362,5.5,106528
1775049538408,9.8,106528
1775049539453,10.8,106528
1775049540502,4.4,106528
1775049541547,4.4,106528
1775049542612,5.5,106544
1775049543664,8.5,106544
1775049544716,9.6,106544
1775049545758,6.0,106544
1775049546811,5.5,106544
1775049547860,5.4,106544
1775049548911,10.4,106544
1775049549967,11.5,106544
1775049551037,4.7,106544
1775049552103,6.3,106544
1775049553152,7.7,106544
1775049554212,8.1,106560
1775049555273,3.6,106560
1775049556328,6.7,106560
1775049557378,6.5,106560
1775049558430,10.8,106560
1775049559483,9.9,106560
1775049560528,6.7,106560
1775049561579,6.0,106560
1775049562637,6.6,106560
1775049563693,7.8,106560
1775049564746,5.9,106560
