ts_ms,cpu_pct,rss_kb
1775049755425,9.9,112512
1775049756474,10.1,112512
1775049757538,12.2,112512
1775049758582,14.1,112512
1775049759654,13.9,112512
1775049760710,12.9,112512
1775049761763,13.8,112528
1775049762809,17.0,112528
1775049763860,15.0,112528
1775049764913,13.2,112528
1775049765968,11.2,112528
1775049767023,16.3,112528
1775049768075,13.7,112528
1775049769137,9.8,112528
1775049770181,9.4,112528
1775049771229,14.8,112528
1775049772275,15.0,112528
1775049773322,12.3,112528
1775049774375,14.7,112528
1775049775434,10.2,112528
1775049776494,15.0,112528
1775049777545,13.5,112528
1775049778591,11.5,112528
1775049779645,11.7,112528
1775049780705,10.0,112528
1775049781756,14.5,112528
1775049782800,13.8,112528
1775049783859,11.1,112528
1775049784910,13.1,112528
1775049785975,16.5,112528
1775049787029,18.1,112528
1775049788077,16.7,112528
1775049789133,10.3,112528
1775049790178,8.6,112528
1775049791241,14.0,112528
1775049792290,10.4,112528
1775049793348,7.3,112528
1775049794412,6.9,112528
1775049795476,12.1,112544
1775049796540,14.0,112544
1775049797588,10.8,112544
1775049798641,6.9,112544
1775049799700,9.7,112544
1775049800762,15.8,112544
1775049801806,16.1,112544
1775049802861,7.1,112528
1775049803919,12.4,112528
1775049804973,8.1,112528
1775049806028,15.7,112528
1775049807084,18.0,112528
1775049808130,9.4,112528
1775049809176,10.3,112528
1775049810233,11.2,112528
1775049811282,16.9,112528
1775049812331,16.6,112528
1775049813381,9.9,112528
1775049814431,7.7,112528
1775049815471,9.6,112528
1775049816516,14.0,112448
1775049817566,14.2,112496
1775049818623,16.3,112528
1775049819671,8.6,112528
1775049820718,8.4,112528
1775049821775,17.8,112528
1775049822822,15.5,112528
1775049823881,16.2,112528
1775049824941,9.6,112528
1775049825995,10.6,112528
1775049827050,16.7,112528
1775049828097,18.3,112528
1775049829161,9.3,112528
1775049830220,8.1,112528
1775049831289,12.9,112528
1775049832342,13.3,112528
1775049833405,9.4,112528
1775049834461,9.1,112528
1775049835517,7.6,112512
1775049836564,15.8,112512
1775049837620,13.8,112512
1775049838674,9.2,112512
1775049839737,7.9,112528
1775049840782,8.1,112528
1775049841833,12.0,112528
1775049842890,14.3,112528
1775049843953,9.8,112528
1775049845017,9.3,112528
1775049846061,15.3,112528
1775049847109,15.8,112528
1775049848150,18.0,112528
1775049849196,12.6,112528
1775049850248,12.9,112528
1775049851290,12.7,112528
1775049852342,12.1,112528
1775049853389,15.8,112528
1775049854450,12.8,112528
