ts_ms,cpu_pct,rss_kb
1775049570981,6.9,105808
1775049572027,6.9,105824
1775049573074,6.9,105824
1775049574124,8.1,105824
1775049575178,32.1,116192
1775049576227,105.2,131168
1775049577283,53.5,131168
1775049578331,46.0,131040
1775049579383,46.5,132448
1775049580435,38.8,132688
1775049581900,9.8,131296
1775049582972,11.3,131264
1775049584018,7.9,125792
1775049585068,10.8,125728
1775049586128,9.2,125696
1775049587174,10.1,125312
1775049588222,11.4,125312
1775049589279,12.2,119408
1775049590332,8.0,119280
1775049591386,5.2,119248
1775049592442,11.8,118016
1775049593490,10.3,117024
1775049594535,12.0,117024
1775049595601,6.9,117088
1775049596656,5.9,117120
1775049597712,12.5,117184
1775049598753,11.3,116944
1775049599793,11.9,116768
1775049600848,6.0,115424
1775049601895,8.1,115456
1775049602934,6.3,115456
1775049603984,11.6,115456
1775049605033,11.5,115456
1775049606077,6.0,115472
1775049607131,7.2,115312
1775049608179,6.9,115328
1775049609231,10.7,115328
1775049610277,10.4,115328
1775049611321,10.7,115328
1775049612371,6.4,115328
1775049613470,9.9,115392
1775049614521,9.8,117232
1775049615574,12.7,117232
1775049616624,7.2,117232
1775049617669,6.9,117232
1775049618728,12.2,117232
1775049619778,11.8,115296
1775049620825,13.0,115312
1775049621878,7.7,115328
1775049622932,7.2,115328
1775049623990,12.4,115328
1775049625034,13.0,115360
1775049626089,13.6,116352
1775049627138,6.8,116352
1775049628188,6.9,116352
1775049629237,11.0,117568
1775049630286,11.0,116608
1775049631346,7.2,116608
1775049632396,6.2,116608
1775049633455,7.9,117600
1775049634515,18.5,117600
1775049635562,15.1,117600
1775049636609,10.2,117600
1775049637653,8.0,117616
1775049638712,9.7,117616
1775049639771,17.9,117616
1775049640820,19.7,117616
1775049641883,8.1,117616
1775049642927,11.4,117616
1775049643988,10.9,117632
1775049645036,13.0,117632
1775049646087,12.8,117632
1775049647131,17.4,117632
1775049648171,7.6,117632
1775049649223,8.5,117632
1775049650278,16.5,117648
1775049651334,12.0,117648
1775049652380,16.5,117648
1775049653437,10.5,117648
1775049654484,10.0,117648
1775049655533,20.1,117648
1775049656582,16.2,117648
1775049657637,16.1,117856
1775049658688,11.5,117856
1775049659749,9.1,117856
1775049660802,16.4,117856
1775049661856,14.2,117856
1775049662898,19.9,117856
1775049663933,7.9,117856
1775049664990,7.2,116720
1775049666069,17.3,116720
1775049667122,17.9,116624
1775049668178,11.1,116608
1775049669241,13.2,116608
1775049670287,14.9,115024
1775049671336,15.3,115024
1775049672392,17.4,115024
1775049673440,12.2,114992
1775049674492,11.4,114992
1775049675545,14.6,113824
1775049676597,14.9,113824
1775049677645,15.1,113824
1775049678702,12.6,112848
1775049679763,11.6,112912
1775049680811,13.0,112912
1775049681857,14.5,112912
1775049682913,13.9,112928
1775049683976,11.1,112928
1775049685036,16.2,112928
1775049686085,10.7,112928
1775049687136,13.1,112944
1775049688180,14.1,112944
1775049689228,14.7,112960
1775049690282,16.5,112960
1775049691333,11.7,112960
1775049692389,12.3,112960
1775049693456,13.4,112960
1775049694522,17.3,112960
1775049695587,10.8,112960
1775049696637,9.0,112960
1775049697692,13.5,112960
1775049698735,14.4,112960
1775049699784,15.0,112992
1775049700839,12.5,112992
1775049701888,10.1,112992
1775049702944,12.2,112784
1775049703993,14.5,112736
1775049705045,17.2,112752
1775049706089,12.6,112752
1775049707138,10.1,112752
1775049708194,10.2,112752
1775049709243,16.7,112752
1775049710295,15.8,112752
1775049711341,12.1,112752
1775049712389,11.2,112752
1775049713450,8.9,112752
1775049714507,13.9,112752
1775049715559,19.3,112752
1775049716608,17.9,112752
1775049717661,9.5,112752
1775049718723,11.2,112752
1775049719782,20.2,112752
1775049720832,13.1,112752
1775049721889,10.0,112752
1775049722940,10.2,112752
1775049724001,14.7,112752
1775049725055,16.3,112752
1775049726100,18.8,112752
1775049727166,7.4,112752
1775049728205,9.3,112752
1775049729254,11.5,112752
1775049730305,15.4,112752
1775049731357,17.8,112752
1775049732416,9.3,112752
1775049733465,10.7,112752
1775049734511,7.3,112752
1775049735558,14.0,112752
1775049736613,16.5,112752
1775049737677,10.9,112752
1775049738727,9.5,112752
1775049739771,9.3,112752
1775049740819,16.2,112592
1775049741874,16.9,112592
1775049742933,10.8,112576
1775049743976,11.3,112592
1775049745031,19.2,112592
1775049746086,14.8,112576
1775049747138,20.0,112576
1775049748187,12.5,112576
1775049749240,11.1,112576
